Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,11,,,Cpd 11: 588.1338 1.586,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,588.434,587.1265,1,,,20140404-212.d,1.927,,,54402,,,4,Negative,-1,-1,,588.1338,,587.1265,,100,1.586,,1.363,0.208,,,3,10,,0.16,876803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,12,,,Cpd 12: 610.1126 1.595,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,610.3335,609.1054,1,,,20140404-212.d,1.861,,,4087,,,2,Negative,-1,-1,,610.1126,,609.1054,,100,1.595,,1.363,0.262,,,3,10,,0.01,77992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,13,,,Cpd 13: 626.0829 1.596,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,626.3285,625.0756,1,,,20140404-212.d,1.745,,,1602,,,2,Negative,-1,-1,,626.0829,,625.0756,,100,1.596,,1.479,0.154,,,3,10,,0,19102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,14,,,Cpd 14: 1070.9638 1.640,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1071.1531,1069.9565,1,,,20140404-212.d,1.828,,,3943,,,2,Negative,-1,-1,,1070.9638,,1069.9565,,93,1.64,,1.479,0.16,,,5,11,,0.01,43648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,15,,,Cpd 15: 686.1005 1.640,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,686.5097,685.0932,1,,,20140404-212.d,1.761,,,4646,,,3,Negative,-1,-1,,686.1005,,685.0932,,87,1.64,,1.546,0.109,,,5,11,,0.01,46673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,16,,,Cpd 16: 708.0809 1.646,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,708.3457,707.0737,1,,,20140404-212.d,1.745,,,2494,,,2,Negative,-1,-1,,708.0809,,707.0737,,91.4,1.646,,1.546,0.114,,,5,11,,0,26208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,17,,,Cpd 17: 1334.9735 1.652,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1335.2272,1333.9663,1,,,20140404-212.d,1.927,,,7595,,,2,Negative,-1,-1,,1334.9735,,1333.9663,,80,1.652,,1.396,0.293,,,5,11,,0.04,203243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,18,,,Cpd 18: 1034.9950 1.657,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1035.2782,1033.9878,1,,,20140404-212.d,2.109,,,83498,,,4,Negative,-1,-1,,1034.995,,1033.9878,,80,1.657,,1.38,0.342,,,5,11,,0.44,2441647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,19,,,Cpd 19: 991.1401 1.678,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,991.4408,990.1328,1,,,20140404-212.d,1.761,,,3935,,,2,Negative,-1,-1,,991.1401,,990.1328,,73.9,1.678,,1.595,0.097,,,1,12,,0.01,37976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,20,,,Cpd 20: 324.0388 1.701,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,324.2386,323.0315,1,,,20140404-212.d,1.894,,,2209,,,2,Negative,-1,-1,,324.0388,,323.0315,,100,1.701,,1.595,0.163,,,3,13,,0,24143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,21,,,Cpd 21: 931.1225 1.703,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,931.433,930.1152,1,,,20140404-212.d,1.828,,,1909,,,2,Negative,-1,-1,,931.1225,,930.1152,,100,1.703,,1.595,0.138,,,3,13,,0,20518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,22,,,Cpd 22: 893.1741 1.703,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,893.6213,892.1663,2,,,20140404-212.d,2.209,,,29848,,,7,Negative,-1,-2,,893.1741,,892.1663,,100,1.703,,1.529,0.268,,,3,13,0.0025,0.14,766323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,23,,,Cpd 23: 915.1547 1.714,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,915.5721,914.1474,1,,,20140404-212.d,1.993,,,6777,,,3,Negative,-1,-1,,915.1547,,914.1474,,100,1.714,,1.562,0.203,,,2,14,,0.02,112023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,24,,,Cpd 24: 611.0759 1.720,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,611.3379,610.0686,1,,,20140404-212.d,1.861,,,2035,,,2,Negative,-1,-1,,611.0759,,610.0686,,100,1.72,,1.645,0.138,,,2,14,,0,23940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,25,,,Cpd 25: 629.0792 1.830,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,629.2522,628.0719,1,,,20140404-212.d,2.027,,,5013,,,2,Negative,-1,-1,,629.0792,,628.0719,,100,1.83,,1.695,0.167,,,2,15,,0.01,61817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,26,,,Cpd 26: 347.0643 1.845,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,347.2034,346.0571,1,,,20140404-212.d,1.993,,,9118,,,2,Negative,-1,-1,,347.0643,,346.0571,,100,1.845,,1.695,0.161,,,2,15,,0.02,111281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,27,,,Cpd 27: 329.0529 1.883,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,329.1837,328.0456,1,,,20140404-212.d,2.076,,,4806,,,2,Negative,-1,-1,,329.0529,,328.0456,,100,1.883,,1.728,0.17,,,1,16,,0.01,55825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,28,,,Cpd 28: 310.0132 1.963,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,310.5468,309.006,1,,,20140404-212.d,2.325,,,3499,,,3,Negative,-1,-1,,310.0132,,309.006,,100,1.963,,1.662,0.324,,,1,17,,0.02,95389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,29,,,Cpd 29: 417.9931 1.990,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,418.4341,416.9858,1,,,20140404-212.d,2.474,,,7305,,,3,Negative,-1,-1,,417.9931,,416.9858,,95.9,1.99,,1.562,0.437,,,1,18,,0.04,226149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,30,,,Cpd 30: 325.9911 2.108,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,326.1471,324.9838,1,,,20140404-212.d,2.839,,,14288,,,3,Negative,-1,-1,,325.9911,,324.9838,,99.2,2.108,,1.761,0.664,,,1,19,,0.1,576527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,31,,,Cpd 31: 674.0987 2.132,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,674.3507,673.0914,1,,,20140404-212.d,2.342,,,2647,,,2,Negative,-1,-1,,674.0987,,673.0914,,100,2.132,,2.01,0.2,,,1,20,,0.01,38923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,32,,,Cpd 32: 635.0795 2.244,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,635.3724,634.0723,1,,,20140404-212.d,2.64,,,23650,,,3,Negative,-1,-1,,635.0795,,634.0723,,100,2.244,,1.811,0.285,,,2,21,,0.09,485171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,33,,,Cpd 33: 657.0593 2.253,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,657.2488,656.052,1,,,20140404-212.d,2.441,,,3648,,,2,Negative,-1,-1,,657.0593,,656.052,,100,2.253,,2.027,0.214,,,2,21,,0.01,56324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,34,,,Cpd 34: 653.0894 2.372,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,653.3993,652.0822,1,,,20140404-212.d,2.474,,,11139,,,3,Negative,-1,-1,,653.0894,,652.0822,,87,2.372,,2.159,0.173,,,1,22,,0.03,177250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,35,,,Cpd 35: 1260.1750 2.440,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1260.4893,629.0802,1,,,20140404-212.d,2.624,,,2086,,,2,Negative,-2,-2,,1260.175,,629.0802,,80,2.44,,2.275,0.214,,,3,23,,0.01,43405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,36,,,Cpd 36: 1222.2277 2.448,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1222.808,610.1069,2,,,20140404-212.d,2.74,,,20384,,,6,Negative,-1,-2,,1222.2277,,610.1069,,100,2.448,,2.209,0.239,,,3,23,0.0043,0.11,611023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,37,,,Cpd 37: 1244.2098 2.450,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1244.5573,621.0976,1,,,20140404-212.d,2.69,,,3382,,,2,Negative,-2,-2,,1244.2098,,621.0976,,80,2.45,,2.292,0.225,,,3,23,,0.01,71895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,38,,,Cpd 38: 692.1088 2.648,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,692.3468,691.1015,1,,,20140404-212.d,3.071,,,4067,,,2,Negative,-1,-1,,692.1088,,691.1015,,100,2.648,,2.458,0.321,,,1,24,,0.02,86390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,39,,,Cpd 39: 653.0894 2.725,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,653.3737,652.0821,1,,,20140404-212.d,3.254,,,42417,,,3,Negative,-1,-1,,653.0894,,652.0821,,100,2.725,,2.491,0.322,,,2,25,,0.18,1006566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,40,,,Cpd 40: 675.0705 2.734,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,675.2858,674.0632,1,,,20140404-212.d,3.071,,,7179,,,2,Negative,-1,-1,,675.0705,,674.0632,,100,2.734,,2.508,0.276,,,2,25,,0.03,149944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,41,,,Cpd 41: 1260.1746 3.024,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1260.6513,629.081,2,,,20140404-212.d,3.254,,,5702,,,5,Negative,-1,-2,,1260.1746,,629.081,,100,3.024,,2.823,0.209,,,6,26,0.0045,0.04,211760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,42,,,Cpd 42: 1282.1523 3.024,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1282.5234,1281.1403,2,,,20140404-212.d,3.204,,,2055,,,4,Negative,-1,-2,,1282.1523,,1281.1403,,80,3.024,,2.889,0.175,,,6,26,0.0065,0.01,64260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,43,,,Cpd 43: 1222.6696 3.026,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1223.3128,610.3275,1,,,20140404-212.d,3.204,,,2194,,,3,Negative,-2,-2,,1222.6696,,610.3275,,100,3.026,,2.889,0.175,,,6,26,,0.01,48524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,44,,,Cpd 44: 1222.2285 3.027,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1222.825,610.1073,2,,,20140404-212.d,3.536,,,114652,,,9,Negative,-1,-2,,1222.2285,,610.1073,,100,3.027,,2.756,0.245,,,6,26,0.0035,0.63,3490301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,45,,,Cpd 45: 1244.2100 3.028,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1244.7765,621.0981,2,,,20140404-212.d,3.353,,,19868,,,6,Negative,-1,-2,,1244.21,,621.0981,,100,3.028,,2.806,0.227,,,6,26,0.0037,0.11,601845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,46,,,Cpd 46: 1266.1899 3.036,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1266.7518,632.0889,2,,,20140404-212.d,3.204,,,2310,,,5,Negative,-1,-2,,1266.1899,,632.0889,,100,3.036,,2.889,0.171,,,6,26,0.0036,0.02,93800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,47,,,Cpd 47: 980.1309 3.053,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,980.252,979.1213,2,,,20140404-212.d,3.188,,,1686,,,3,Negative,-1,-2,,980.1309,,979.1213,,100,3.053,,2.872,0.172,,,1,27,0.0035,0.01,40204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,48,,,Cpd 48: 681.0837 3.123,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,681.3311,680.0765,1,,,20140404-212.d,3.337,,,2835,,,2,Negative,-1,-1,,681.0837,,680.0765,,100,3.123,,2.972,0.209,,,1,28,,0.01,51464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,49,,,Cpd 49: 964.1308 3.313,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,964.4476,963.1227,2,,,20140404-212.d,3.519,,,8645,,,4,Negative,-1,-2,,964.1308,,963.1227,,100,3.313,,3.138,0.188,,,1,29,0.0042,0.03,189099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,50,,,Cpd 50: 1250.2224 3.487,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1250.7928,624.1039,1,,,20140404-212.d,3.702,,,3660,,,3,Negative,-2,-2,,1250.2224,,624.1039,,100,3.487,,3.171,0.241,,,1,30,,0.01,79026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,51,,,Cpd 51: 1528.2525 3.526,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1528.9636,763.119,1,,,20140404-212.d,3.768,,,8326,,,4,Negative,-2,-2,,1528.2525,,763.119,,100,3.526,,3.204,0.319,,,1,31,,0.06,324809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,52,,,Cpd 52: 498.5751 3.557,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,498.5751,996.142,1,,,20140404-212.d,3.884,,,1587,,,2,Negative,-1,-1,,498.5751,,996.142,,78.4,3.557,,3.353,0.263,,,1,32,0.0011,0.01,51312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
