Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,19,,,Cpd 19: 519.9735,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,520.6775,518.9662,1,,,20140424-306.d,1.373,,,3467,,,3,Negative,-1,-1,,519.9735,,518.9662,,100,1.212,,1.074,0.163,,,15,4,,0.01,60344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,20,,,Cpd 20: 411.9946,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,412.0869,410.9873,1,,,20140424-306.d,1.389,,,15598,,,2,Negative,-1,-1,,411.9946,,410.9873,,100,1.213,,1.058,0.162,,,15,4,,0.03,189086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,21,,,Cpd 21: 250.0025,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,250.0578,248.9953,1,,,20140424-306.d,1.456,,,59116,,,2,Negative,-1,-1,,250.0025,,248.9953,,100,1.215,,1.008,0.178,,,15,4,,0.11,739534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,22,,,Cpd 22: 576.0001,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,576.7171,574.9928,1,,,20140424-306.d,1.356,,,7255,,,4,Negative,-1,-1,,576.0001,,574.9928,,100,1.215,,1.074,0.147,,,15,4,,0.02,113977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,23,,,Cpd 23: 677.9541,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,678.095,676.9469,1,,,20140424-306.d,1.356,,,6351,,,2,Negative,-1,-1,,677.9541,,676.9469,,94.5,1.217,,1.091,0.163,,,20,5,,0.01,84529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,24,,,Cpd 24: 332.0055,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,332.1064,330.9982,1,,,20140424-306.d,1.373,,,4137,,,2,Negative,-1,-1,,332.0055,,330.9982,,100,1.218,,1.074,0.162,,,20,5,,0.01,47269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,25,,,Cpd 25: 779.9838,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,780.7951,778.9765,1,,,20140424-306.d,1.323,,,2816,,,3,Negative,-1,-1,,779.9838,,778.9765,,100,1.219,,1.107,0.135,,,20,5,,0.01,48289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,26,,,Cpd 26: 493.9955,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,494.1142,492.9883,1,,,20140424-306.d,1.373,,,7073,,,2,Negative,-1,-1,,493.9955,,492.9883,,100,1.219,,1.074,0.151,,,20,5,,0.01,82225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,27,,,Cpd 27: 658.0021,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,658.6621,656.9948,1,,,20140424-306.d,1.356,,,7067,,,3,Negative,-1,-1,,658.0021,,656.9948,,100,1.221,,1.091,0.14,,,20,5,,0.02,113551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,28,,,Cpd 28: 740.0044,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,740.721,738.9971,1,,,20140424-306.d,1.34,,,5619,,,3,Negative,-1,-1,,740.0044,,738.9971,,100,1.223,,1.107,0.133,,,20,5,,0.01,91712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,29,,,Cpd 29: 822.0033,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,822.7244,820.996,1,,,20140424-306.d,1.323,,,4364,,,3,Negative,-1,-1,,822.0033,,820.996,,100,1.223,,1.124,0.114,,,20,5,,0.01,62608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,30,,,Cpd 30: 319.9710,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,320.0681,318.9637,1,,,20140424-306.d,1.389,,,28517,,,3,Negative,-1,-1,,319.971,,318.9637,,95.7,1.224,,0.859,0.209,,,20,5,,0.06,431201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,31,,,Cpd 31: 388.0334,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,388.141,387.0261,1,,,20140424-306.d,1.373,,,13008,,,2,Negative,-1,-1,,388.0334,,387.0261,,100,1.225,,1.091,0.138,,,20,5,,0.02,136850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,32,,,Cpd 32: 306.0301,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,306.1202,305.0229,1,,,20140424-306.d,1.389,,,11331,,,2,Negative,-1,-1,,306.0301,,305.0229,,100,1.226,,1.074,0.142,,,20,5,,0.02,117720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,33,,,Cpd 33: 389.9739,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,390.0367,388.9666,1,,,20140424-306.d,1.406,,,40555,,,2,Negative,-1,-1,,389.9739,,388.9666,,80,1.226,,0.859,0.184,,,20,5,,0.08,557025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,34,,,Cpd 34: 470.0362,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,470.1702,469.0289,1,,,20140424-306.d,1.373,,,7633,,,2,Negative,-1,-1,,470.0362,,469.0289,,100,1.226,,1.091,0.133,,,20,5,,0.01,79118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,35,,,Cpd 35: 496.0123,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,496.1468,495.005,1,,,20140424-306.d,1.356,,,4086,,,2,Negative,-1,-1,,496.0123,,495.005,,100,1.227,,1.107,0.14,,,20,5,,0.01,46499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,36,,,Cpd 36: 798.0478,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,798.27,797.0405,1,,,20140424-306.d,1.323,,,3572,,,2,Negative,-1,-1,,798.0478,,797.0405,,99.8,1.227,,1.141,0.11,,,20,5,,0,33312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,37,,,Cpd 37: 471.9779,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,471.9779,942.9472,1,,,20140424-306.d,1.356,,,1981,,,2,Negative,-1,-1,,471.9779,,942.9472,,78.6,1.227,,1.107,0.133,,,20,5,0.0008,0.01,44907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,38,,,Cpd 38: 552.0388,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,552.2055,551.0315,1,,,20140424-306.d,1.356,,,5768,,,2,Negative,-1,-1,,552.0388,,551.0315,,100,1.227,,1.107,0.127,,,20,5,,0.01,60348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,39,,,Cpd 39: 716.0460,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,716.2208,715.0387,1,,,20140424-306.d,1.34,,,6283,,,2,Negative,-1,-1,,716.046,,715.0387,,100,1.227,,1.124,0.121,,,20,5,,0.01,63721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,40,,,Cpd 40: 634.0429,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,634.2252,633.0356,1,,,20140424-306.d,1.356,,,6355,,,2,Negative,-1,-1,,634.0429,,633.0356,,100,1.229,,1.107,0.127,,,20,5,,0.01,68244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,41,,,Cpd 41: 414.0087,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,414.0966,413.0015,1,,,20140424-306.d,1.389,,,4926,,,2,Negative,-1,-1,,414.0087,,413.0015,,100,1.23,,1.091,0.15,,,20,5,,0.01,51000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,42,,,Cpd 42: 265.9989,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,266.163,264.9916,1,,,20140424-306.d,1.406,,,8846,,,3,Negative,-1,-1,,265.9989,,264.9916,,100,1.231,,1.074,0.158,,,20,5,,0.02,110287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,43,,,Cpd 43: 635.9835,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,636.1431,634.9763,1,,,20140424-306.d,1.34,,,2762,,,2,Negative,-1,-1,,635.9835,,634.9763,,95.8,1.24,,1.107,0.153,,,1,6,,0,29326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,44,,,Cpd 44: 506.1222,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,506.284,505.1149,1,,,20140424-306.d,1.389,,,2104,,,2,Negative,-1,-1,,506.1222,,505.1149,,100,1.275,,1.124,0.155,,,2,7,,0,21944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,45,,,Cpd 45: 424.1192,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,424.2684,423.1119,1,,,20140424-306.d,1.439,,,5311,,,2,Negative,-1,-1,,424.1192,,423.1119,,100,1.276,,1.074,0.176,,,2,7,,0.01,71252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,46,,,Cpd 46: 342.1160,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,342.307,341.1088,1,,,20140424-306.d,1.638,,,29271,,,3,Negative,-1,-1,,342.116,,341.1088,,100,1.296,,1.008,0.241,,,2,8,,0.08,524167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,47,,,Cpd 47: 364.0980,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,364.3746,363.0907,1,,,20140424-306.d,1.423,,,2257,,,2,Negative,-1,-1,,364.098,,363.0907,,100,1.302,,1.041,0.213,,,2,8,,0.01,38275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,48,,,Cpd 48: 283.0910,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,283.2201,282.0837,1,,,20140424-306.d,1.771,,,4320,,,2,Negative,-1,-1,,283.091,,282.0837,,100,1.407,,1.141,0.258,,,1,9,,0.01,67050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,49,,,Cpd 49: 378.0926,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,378.6356,377.0853,1,,,20140424-306.d,1.605,,,3196,,,3,Negative,-1,-1,,378.0926,,377.0853,,100,1.443,,1.306,0.142,,,1,10,,0.01,43780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,50,,,Cpd 50: 610.1128,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,610.3482,609.1055,1,,,20140424-306.d,1.771,,,2845,,,2,Negative,-1,-1,,610.1128,,609.1055,,77,1.457,,1.141,0.336,,,2,11,,0.01,54329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,51,,,Cpd 51: 956.9795,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,957.7156,955.9722,1,,,20140424-306.d,2.02,,,7588,,,4,Negative,-1,-1,,956.9795,,955.9722,,100,1.472,,1.24,0.278,,,2,11,,0.02,163270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,52,,,Cpd 52: 983.9990,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,984.1487,982.9917,1,,,20140424-306.d,1.986,,,9605,,,2,Negative,-1,-1,,983.999,,982.9917,,88.4,1.523,,1.356,0.323,,,2,12,,0.02,165108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,53,,,Cpd 53: 588.1324,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,588.4149,587.1251,1,,,20140424-306.d,1.92,,,18842,,,3,Negative,-1,-1,,588.1324,,587.1251,,100,1.538,,1.273,0.259,,,2,12,,0.05,376394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
