Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,11,,,Cpd 11: 247.9880,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,248.0476,246.9807,1,,,20140420-298.d,1.427,,,15323,,,2,Negative,-1,-1,,247.988,,246.9807,,100,1.176,,0.929,0.202,,,13,3,,0.05,195284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,12,,,Cpd 12: 740.0034,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,740.6296,738.9962,1,,,20140420-298.d,1.277,,,5180,,,3,Negative,-1,-1,,740.0034,,738.9962,,100,1.176,,1.078,0.108,,,13,3,,0.01,58686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,13,,,Cpd 13: 716.0438,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,716.2179,715.0365,1,,,20140420-298.d,1.277,,,4445,,,2,Negative,-1,-1,,716.0438,,715.0365,,94.2,1.178,,1.112,0.102,,,13,3,,0.01,33412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,14,,,Cpd 14: 303.9738,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,304.0357,302.9666,1,,,20140420-298.d,1.443,,,5171,,,2,Negative,-1,-1,,303.9738,,302.9666,,80.5,1.179,,0.548,0.5,,,13,3,,0.03,117362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,15,,,Cpd 15: 575.9994,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,576.6714,574.9921,1,,,20140420-298.d,1.344,,,6974,,,4,Negative,-1,-1,,575.9994,,574.9921,,100,1.18,,1.062,0.149,,,13,3,,0.02,103837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,16,,,Cpd 16: 329.9916,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,330.0805,328.9843,1,,,20140420-298.d,1.46,,,20503,,,2,Negative,-1,-1,,329.9916,,328.9843,,100,1.18,,1.045,0.188,,,13,3,,0.06,258451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,17,,,Cpd 17: 411.9945,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,412.0891,410.9872,1,,,20140420-298.d,1.41,,,15502,,,3,Negative,-1,-1,,411.9945,,410.9872,,100,1.18,,1.045,0.173,,,13,3,0.0013,0.05,194609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,18,,,Cpd 18: 634.0417,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,634.2062,633.0344,1,,,20140420-298.d,1.327,,,4718,,,2,Negative,-1,-1,,634.0417,,633.0344,,100,1.18,,1.095,0.131,,,13,3,,0.01,45571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,19,,,Cpd 19: 493.9971,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,494.1249,492.9899,1,,,20140420-298.d,1.377,,,6181,,,2,Negative,-1,-1,,493.9971,,492.9899,,100,1.181,,1.062,0.16,,,13,3,,0.02,74332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,20,,,Cpd 20: 1104.9984,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1105.1866,1103.9911,1,,,20140420-298.d,1.51,,,27398,,,2,Negative,-1,-1,,1104.9984,,1103.9911,,73,1.182,,0.714,0.364,,,13,3,,0.12,526220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,21,,,Cpd 21: 658.0024,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,658.5892,656.9951,1,,,20140420-298.d,1.327,,,6174,,,3,Negative,-1,-1,,658.0024,,656.9951,,100,1.183,,1.078,0.131,,,13,3,,0.02,83396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,22,,,Cpd 22: 437.9722,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,438.3883,436.9649,1,,,20140420-298.d,1.41,,,5029,,,3,Negative,-1,-1,,437.9722,,436.9649,,100,1.187,,1.012,0.192,,,13,3,,0.02,82400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,23,,,Cpd 23: 552.0388,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,552.1954,551.0315,1,,,20140420-298.d,1.344,,,4449,,,2,Negative,-1,-1,,552.0388,,551.0315,,100,1.189,,1.078,0.139,,,13,3,,0.01,44414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,24,,,Cpd 24: 470.0360,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,470.1777,469.0287,1,,,20140420-298.d,1.36,,,5868,,,2,Negative,-1,-1,,470.036,,469.0287,,100,1.192,,1.078,0.143,,,3,4,,0.01,62246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,25,,,Cpd 25: 388.0333,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,388.1256,387.026,1,,,20140420-298.d,1.394,,,11552,,,2,Negative,-1,-1,,388.0333,,387.026,,100,1.195,,1.062,0.152,,,3,4,,0.03,120563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,26,,,Cpd 26: 306.0299,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,306.1143,305.0226,1,,,20140420-298.d,1.394,,,9955,,,2,Negative,-1,-1,,306.0299,,305.0226,,100,1.197,,1.062,0.161,,,3,4,,0.03,106275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,27,,,Cpd 27: 357.9840,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,358.0485,356.9767,1,,,20140420-298.d,1.543,,,26021,,,2,Negative,-1,-1,,357.984,,356.9767,,100,1.202,,0.929,0.267,,,5,5,,0.12,510279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,28,,,Cpd 28: 414.0093,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,414.1173,413.002,1,,,20140420-298.d,1.394,,,4705,,,2,Negative,-1,-1,,414.0093,,413.002,,100,1.205,,1.062,0.17,,,5,5,,0.01,57957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,29,,,Cpd 29: 549.9545,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,550.5765,548.9472,1,,,20140420-298.d,1.36,,,2020,,,3,Negative,-1,-1,,549.9545,,548.9472,,88.6,1.207,,1.062,0.172,,,5,5,,0.01,34530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,30,,,Cpd 30: 496.0129,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,496.1379,495.0056,1,,,20140420-298.d,1.377,,,4732,,,2,Negative,-1,-1,,496.0129,,495.0056,,100,1.208,,1.078,0.152,,,5,5,,0.01,52135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,31,,,Cpd 31: 250.0030,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,250.0823,248.9957,1,,,20140420-298.d,1.493,,,58063,,,3,Negative,-1,-1,,250.003,,248.9957,,100,1.215,,0.946,0.201,,,5,5,,0.21,871638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,32,,,Cpd 32: 441.9592,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,442.0996,440.9516,1,,,20140420-298.d,1.394,,,2856,,,3,Negative,-1,-1,,441.9592,,440.9516,,75.8,1.248,,1.078,0.201,,,1,6,0.0022,0.01,49391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,33,,,Cpd 33: 359.9548,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,360.3047,358.9475,1,,,20140420-298.d,1.427,,,4744,,,3,Negative,-1,-1,,359.9548,,358.9475,,94,1.282,,1.078,0.163,,,5,7,,0.02,64785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,34,,,Cpd 34: 385.9500,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,386.4298,384.9427,1,,,20140420-298.d,1.427,,,2339,,,3,Negative,-1,-1,,385.95,,384.9427,,87,1.289,,1.095,0.179,,,5,7,,0.01,36590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,35,,,Cpd 35: 277.9509,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,278.2613,276.9437,1,,,20140420-298.d,1.427,,,5413,,,3,Negative,-1,-1,,277.9509,,276.9437,,100,1.29,,1.145,0.146,,,5,7,,0.02,67196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,36,,,Cpd 36: 523.9031,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,524.4336,522.8959,1,,,20140420-298.d,1.394,,,1710,,,3,Negative,-1,-1,,523.9031,,522.8959,,100,1.291,,1.062,0.132,,,5,7,,0,19438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,37,,,Cpd 37: 1013.7468,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1014.0223,336.9083,1,,,20140420-298.d,1.46,,,1467,,,2,Negative,-3,-3,,1013.7468,,336.9083,,80,1.293,,1.078,0.201,,,5,7,,0.01,21835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,38,,,Cpd 38: 359.8978,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,360.3155,358.8905,1,,,20140420-298.d,1.443,,,3729,,,3,Negative,-1,-1,,359.8978,,358.8905,,100,1.312,,1.195,0.139,,,2,8,,0.01,45106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,39,,,Cpd 39: 441.8971,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,442.4193,440.8898,1,,,20140420-298.d,1.41,,,1754,,,3,Negative,-1,-1,,441.8971,,440.8898,,100,1.314,,1.195,0.13,,,2,8,,0,20870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,40,,,Cpd 40: 255.9135,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,256.3682,254.9062,1,,,20140420-298.d,1.46,,,2895,,,3,Negative,-1,-1,,255.9135,,254.9062,,100,1.339,,1.195,0.138,,,1,9,,0.01,35156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,41,,,Cpd 41: 956.9786,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,957.7069,955.9714,1,,,20140420-298.d,2.057,,,19458,,,4,Negative,-1,-1,,956.9786,,955.9714,,100,1.494,,1.294,0.368,,,3,10,,0.11,451118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,42,,,Cpd 42: 1256.9587,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1257.5605,1255.9515,1,,,20140420-298.d,1.858,,,3589,,,3,Negative,-1,-1,,1256.9587,,1255.9515,,98,1.502,,1.377,0.241,,,3,10,,0.02,63835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,43,,,Cpd 43: 509.8342,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,510.5118,508.8269,1,,,20140420-298.d,1.676,,,816,,,3,Negative,-1,-1,,509.8342,,508.8269,,100,1.513,,1.36,0.176,,,3,10,,0,15338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,44,,,Cpd 44: 983.9986,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,984.2255,982.9913,1,,,20140420-298.d,1.924,,,41774,,,3,Negative,-1,-1,,983.9986,,982.9913,,100,1.543,,1.311,0.251,,,1,11,,0.17,724758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,45,,,Cpd 45: 646.0895,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,646.7865,645.0822,1,,,20140420-298.d,1.642,,,1025,,,3,Negative,-1,-1,,646.0895,,645.0822,,92.4,1.556,,1.477,0.097,,,3,12,,0,11424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,46,,,Cpd 46: 1283.9789,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1284.1952,1282.9716,1,,,20140420-298.d,1.891,,,5015,,,2,Negative,-1,-1,,1283.9789,,1282.9716,,80,1.562,,1.41,0.249,,,3,12,,0.02,95338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,47,,,Cpd 47: 967.0067,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,967.213,965.9995,1,,,20140420-298.d,2.488,,,6026,,,2,Negative,-1,-1,,967.0067,,965.9995,,80.4,1.565,,1.394,0.647,,,3,12,,0.04,177573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,48,,,Cpd 48: 1020.9583,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1021.5646,1019.951,1,,,20140420-298.d,1.792,,,4071,,,3,Negative,-1,-1,,1020.9583,,1019.951,,96.4,1.586,,1.443,0.212,,,2,13,,0.02,94235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,49,,,Cpd 49: 588.1329,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,588.3989,587.1256,1,,,20140420-298.d,1.891,,,14484,,,3,Negative,-1,-1,,588.1329,,587.1256,,100,1.604,,1.41,0.208,,,2,13,,0.05,223408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,50,,,Cpd 50: 708.0826,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,708.343,707.0753,1,,,20140420-298.d,1.742,,,1185,,,2,Negative,-1,-1,,708.0826,,707.0753,,99.5,1.646,,1.576,0.106,,,2,14,,0,11624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,51,,,Cpd 51: 686.1005,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,686.482,685.0932,1,,,20140420-298.d,1.792,,,2628,,,3,Negative,-1,-1,,686.1005,,685.0932,,100,1.658,,1.576,0.115,,,2,14,,0.01,26542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,52,,,Cpd 52: 991.1391,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,991.4321,990.1318,1,,,20140420-298.d,1.792,,,2215,,,2,Negative,-1,-1,,991.1391,,990.1318,,100,1.684,,1.609,0.109,,,1,15,,0.01,22366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,53,,,Cpd 53: 1334.9750,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1335.1713,1333.9678,1,,,20140420-298.d,2.024,,,3393,,,2,Negative,-1,-1,,1334.975,,1333.9678,,76.1,1.715,,1.477,0.282,,,4,16,,0.02,75039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
