Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,11,,,Cpd 11: 1104.9992,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1105.1855,1103.9919,1,,,20140429-382.d,1.281,,,27035,,,2,Negative,-1,-1,,1104.9992,,1103.9919,,79,1.156,,0.849,0.262,,,11,1,,0.1,435691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,12,,,Cpd 12: 265.9993,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,266.0786,264.992,1,,,20140429-382.d,1.413,,,13178,,,3,Negative,-1,-1,,265.9993,,264.992,,99.3,1.162,,0.816,0.166,,,6,2,,0.03,127805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,13,,,Cpd 13: 658.0034,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,659.0113,656.9961,1,,,20140429-382.d,1.314,,,6190,,,4,Negative,-1,-1,,658.0034,,656.9961,,73.7,1.163,,1.048,0.133,,,6,2,,0.02,103137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,14,,,Cpd 14: 576.0014,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,576.9752,574.9942,1,,,20140429-382.d,1.347,,,6273,,,4,Negative,-1,-1,,576.0014,,574.9942,,82.4,1.166,,1.048,0.145,,,6,2,,0.03,106461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,15,,,Cpd 15: 716.0463,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,716.2311,715.039,1,,,20140429-382.d,1.297,,,8837,,,2,Negative,-1,-1,,716.0463,,715.039,,71.8,1.168,,1.082,0.119,,,6,2,,0.02,81643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,16,,,Cpd 16: 634.0428,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,634.1881,633.0355,1,,,20140429-382.d,1.33,,,9233,,,2,Negative,-1,-1,,634.0428,,633.0355,,82.6,1.172,,1.065,0.134,,,6,2,,0.02,89613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,17,,,Cpd 17: 552.0400,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,552.1599,551.0327,1,,,20140429-382.d,1.364,,,8642,,,2,Negative,-1,-1,,552.04,,551.0327,,88.5,1.177,,1.065,0.144,,,6,2,,0.02,89745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,18,,,Cpd 18: 470.0368,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,470.2395,469.0295,1,,,20140429-382.d,1.38,,,11852,,,3,Negative,-1,-1,,470.0368,,469.0295,,91.4,1.183,,1.048,0.149,,,13,3,,0.03,130177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,19,,,Cpd 19: 388.0340,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,388.1438,387.0267,1,,,20140429-382.d,1.413,,,19209,,,2,Negative,-1,-1,,388.034,,387.0267,,96.5,1.185,,1.048,0.16,,,13,3,,0.05,219608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,20,,,Cpd 20: 549.9506,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,550.5002,548.9433,1,,,20140429-382.d,1.33,,,2138,,,3,Negative,-1,-1,,549.9506,,548.9433,,71.9,1.189,,1.065,0.172,,,13,3,,0.01,31146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,21,,,Cpd 21: 306.0307,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,306.1818,305.0234,1,,,20140429-382.d,1.413,,,16000,,,3,Negative,-1,-1,,306.0307,,305.0234,,97.8,1.189,,1.048,0.16,,,13,3,,0.04,186927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,22,,,Cpd 22: 609.9884,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,610.1646,608.9812,1,,,20140429-382.d,1.347,,,3531,,,2,Negative,-1,-1,,609.9884,,608.9812,,88.6,1.19,,1.082,0.142,,,13,3,,0.01,37821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,23,,,Cpd 23: 496.0140,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,496.1344,495.0068,1,,,20140429-382.d,1.38,,,8233,,,2,Negative,-1,-1,,496.014,,495.0068,,95.7,1.196,,1.065,0.157,,,13,3,,0.02,97749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,24,,,Cpd 24: 414.0104,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,414.122,413.0032,1,,,20140429-382.d,1.413,,,7401,,,2,Negative,-1,-1,,414.0104,,413.0032,,100,1.196,,1.048,0.167,,,13,3,,0.02,89295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,25,,,Cpd 25: 521.9892,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,522.1229,520.9819,1,,,20140429-382.d,1.364,,,2844,,,2,Negative,-1,-1,,521.9892,,520.9819,,99,1.197,,1.065,0.16,,,13,3,,0.01,31894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,26,,,Cpd 26: 357.9846,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,358.0548,356.9773,1,,,20140429-382.d,1.513,,,26053,,,2,Negative,-1,-1,,357.9846,,356.9773,,100,1.201,,0.916,0.23,,,13,3,,0.1,419175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,27,,,Cpd 27: 527.9852,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,528.3129,526.978,1,,,20140429-382.d,1.364,,,3426,,,3,Negative,-1,-1,,527.9852,,526.978,,93,1.202,,1.082,0.146,,,13,3,,0.01,40552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,28,,,Cpd 28: 545.9433,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,546.1341,544.9361,1,,,20140429-382.d,1.314,,,1917,,,2,Negative,-1,-1,,545.9433,,544.9361,,97.5,1.204,,1.048,0.153,,,13,3,,0.01,22812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,29,,,Cpd 29: 332.0072,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,332.0895,330.9999,1,,,20140429-382.d,1.413,,,5685,,,2,Negative,-1,-1,,332.0072,,330.9999,,100,1.205,,1.065,0.175,,,13,3,,0.02,69426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,30,,,Cpd 30: 250.0037,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,250.0632,248.9965,1,,,20140429-382.d,1.513,,,70158,,,2,Negative,-1,-1,,250.0037,,248.9965,,100,1.205,,0.999,0.198,,,13,3,,0.24,994764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,31,,,Cpd 31: 567.9138,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,568.1484,566.9065,1,,,20140429-382.d,1.38,,,1555,,,2,Negative,-1,-1,,567.9138,,566.9065,,71.6,1.222,,1.065,0.195,,,6,4,,0.01,21403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,32,,,Cpd 32: 363.9792,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,364.1243,362.9719,1,,,20140429-382.d,1.413,,,3139,,,2,Negative,-1,-1,,363.9792,,362.9719,,100,1.223,,1.082,0.172,,,6,4,,0.01,39074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,33,,,Cpd 33: 441.9586,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,442.4385,440.9514,1,,,20140429-382.d,1.413,,,4714,,,3,Negative,-1,-1,,441.9586,,440.9514,,100,1.23,,1.065,0.187,,,6,4,,0.02,80888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,34,,,Cpd 34: 341.9994,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,342.1381,340.9922,1,,,20140429-382.d,1.446,,,3325,,,2,Negative,-1,-1,,341.9994,,340.9922,,100,1.232,,1.065,0.185,,,6,4,,0.01,43721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,35,,,Cpd 35: 424.0006,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,424.1646,422.9934,1,,,20140429-382.d,1.38,,,2733,,,2,Negative,-1,-1,,424.0006,,422.9934,,96.6,1.232,,1.098,0.154,,,6,4,,0.01,32962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,36,,,Cpd 36: 523.9618,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,524.1254,522.9545,1,,,20140429-382.d,1.397,,,3370,,,2,Negative,-1,-1,,523.9618,,522.9545,,96.3,1.234,,1.048,0.177,,,6,4,,0.01,44089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,37,,,Cpd 37: 467.9466,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,468.356,466.9393,1,,,20140429-382.d,1.43,,,2581,,,3,Negative,-1,-1,,467.9466,,466.9393,,80.2,1.249,,1.082,0.18,,,3,5,,0.01,38567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,38,,,Cpd 38: 359.9551,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,360.2446,358.9479,1,,,20140429-382.d,1.446,,,7541,,,3,Negative,-1,-1,,359.9551,,358.9479,,100,1.26,,1.048,0.187,,,3,5,,0.03,113127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,39,,,Cpd 39: 523.9025,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,524.4062,522.8952,1,,,20140429-382.d,1.413,,,2475,,,3,Negative,-1,-1,,523.9025,,522.8952,,84.6,1.267,,1.181,0.136,,,3,5,,0.01,33812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,40,,,Cpd 40: 277.9509,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,278.2258,276.9437,1,,,20140429-382.d,1.446,,,8374,,,3,Negative,-1,-1,,277.9509,,276.9437,,100,1.278,,1.115,0.174,,,6,6,,0.03,119386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,41,,,Cpd 41: 485.9074,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,486.1296,484.9002,1,,,20140429-382.d,1.413,,,1446,,,2,Negative,-1,-1,,485.9074,,484.9002,,98.4,1.278,,1.165,0.16,,,6,6,,0,16571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,42,,,Cpd 42: 363.9166,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,364.1198,362.9093,1,,,20140429-382.d,1.48,,,1566,,,2,Negative,-1,-1,,363.9166,,362.9093,,97,1.281,,1.115,0.2,,,6,6,,0.01,23839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,43,,,Cpd 43: 441.8962,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,442.5184,440.8889,1,,,20140429-382.d,1.446,,,2059,,,3,Negative,-1,-1,,441.8962,,440.8889,,100,1.283,,1.148,0.169,,,6,6,,0.01,38980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,44,,,Cpd 44: 545.8779,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,546.1476,544.8706,1,,,20140429-382.d,1.397,,,1527,,,2,Negative,-1,-1,,545.8779,,544.8706,,90.6,1.286,,1.165,0.139,,,6,6,,0,17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,45,,,Cpd 45: 359.8987,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,360.3383,358.8914,1,,,20140429-382.d,1.48,,,4960,,,3,Negative,-1,-1,,359.8987,,358.8914,,100,1.292,,1.131,0.171,,,6,6,,0.02,78287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,46,,,Cpd 46: 277.8943,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,278.0866,276.887,1,,,20140429-382.d,1.513,,,2057,,,2,Negative,-1,-1,,277.8943,,276.887,,98.5,1.31,,1.181,0.199,,,4,7,,0.01,29906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,47,,,Cpd 47: 259.9358,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,260.0757,258.9285,1,,,20140429-382.d,1.546,,,2475,,,2,Negative,-1,-1,,259.9358,,258.9285,,86.3,1.31,,1.115,0.216,,,4,7,,0.01,41127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,48,,,Cpd 48: 337.9155,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,338.3002,336.9082,1,,,20140429-382.d,1.413,,,2649,,,3,Negative,-1,-1,,337.9155,,336.9082,,95.5,1.323,,1.148,0.152,,,4,7,,0.01,31352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,49,,,Cpd 49: 419.8642,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,420.151,418.8569,1,,,20140429-382.d,1.446,,,938,,,2,Negative,-1,-1,,419.8642,,418.8569,,95.9,1.323,,1.181,0.176,,,4,7,,0,12436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,50,,,Cpd 50: 255.9138,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,256.2851,254.9065,1,,,20140429-382.d,1.496,,,5786,,,3,Negative,-1,-1,,255.9138,,254.9065,,100,1.348,,1.165,0.17,,,2,8,,0.02,78720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,51,,,Cpd 51: 281.9117,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,282.3246,280.9044,1,,,20140429-382.d,1.596,,,2192,,,3,Negative,-1,-1,,281.9117,,280.9044,,100,1.349,,1.131,0.21,,,2,8,,0.01,33699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,52,,,Cpd 52: 315.8797,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,316.4136,314.8724,1,,,20140429-382.d,1.496,,,1630,,,3,Negative,-1,-1,,315.8797,,314.8724,,94.8,1.375,,1.231,0.151,,,4,9,,0.01,22778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,53,,,Cpd 53: 263.9340,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,264.316,262.9267,1,,,20140429-382.d,1.496,,,2081,,,3,Negative,-1,-1,,263.934,,262.9267,,77.4,1.381,,1.032,0.158,,,4,9,,0.01,22738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
